Date (GMT),Open,High,Low,Last
2017/3/7,47500,47560,47240,47430
2017/3/8,47300,47350,46720,46990
2017/3/9,47020,47600,46120,46480
2017/3/10,45880,46400,45820,46220
2017/3/13,46350,47050,46160,46690
2017/3/14,47020,47070,46730,46840
2017/3/15,46680,47220,46350,47020
2017/3/16,47630,48000,47460,47770
2017/3/17,48010,48050,47450,47690
2017/3/20,47710,48030,47620,47810
2017/3/21,47730,48130,46830,47330
2017/3/22,47060,47270,46250,46580
2017/3/23,46580,47160,46290,46830
2017/3/24,46950,47120,46540,46820
2017/3/27,46770,47030,45970,46230
2017/3/28,45970,46830,45490,46260
2017/3/29,46650,47450,46490,47140
2017/3/30,47300,47540,47000,47220
2017/3/31,47300,48110,47210,47510
2017/4/5,46830,47400,46830,47150
2017/4/6,47620,48030,47480,47640
