Date (GMT),Open,High,Low,Last
2016/11/21,20940,21460,20700,21150
2016/11/22,20945,21880,20945,21545
2016/11/23,21760,21775,21385,21520
2016/11/24,21530,22810,21400,22405
2016/11/25,22570,23150,22510,22815
2016/11/28,23035,24410,22995,23890
2016/11/29,24410,24930,23460,24110
2016/11/30,23745,23880,22420,22945
2016/12/1,22765,23050,22310,22725
2016/12/2,22985,23030,21820,22265
2016/12/5,22110,22655,21910,22370
2016/12/6,22695,23205,22550,22800
2016/12/7,22780,23200,22780,22985
2016/12/8,23260,23395,22450,22665
2016/12/9,22620,22800,21950,22260
2016/12/12,22455,22690,22150,22540
2016/12/13,22200,22650,22140,22300
2016/12/14,22575,22575,21770,22110
2016/12/15,22390,23650,22320,22655
2016/12/16,22635,23025,22270,22645
2016/12/19,22385,22455,21425,22050
2016/12/20,21125,21425,20615,21000
2016/12/21,21020,21370,21010,21190
2016/12/22,21180,21240,20590,20915
2016/12/23,20690,21270,20660,21020
2016/12/26,21090,21150,19545,19935
2016/12/27,19985,20240,19635,19890
2016/12/28,20250,21015,20015,20575
2016/12/29,20670,21160,20465,20890
2016/12/30,20715,21890,20500,20755
2017/1/3,21105,21115,20950,21000
2017/1/4,21040,21175,20660,20855
2017/1/5,21000,21595,21000,21325
2017/1/6,21215,21450,21060,21300
2017/1/9,21145,21635,21065,21425
2017/1/10,21680,22550,21635,22000
2017/1/11,22560,22585,22250,22355
2017/1/12,22285,23395,21295,22290
2017/1/13,21525,23435,21525,22485
2017/1/16,22760,23785,22600,22805
2017/1/17,22735,22825,21730,22285
2017/1/18,22180,22555,21800,22280
2017/1/19,22400,22515,22130,22360
2017/1/20,22370,22570,22010,22370
2017/1/23,22265,23010,22165,22735
2017/1/24,22835,22865,22520,22685
2017/1/25,22765,22980,22670,22790
2017/1/26,22695,23555,22520,22765
2017/2/3,23055,23140,22335,22720
2017/2/6,22505,22680,22300,22535
2017/2/7,22440,22710,22440,22595
2017/2/8,22790,23020,22670,22840
2017/2/9,22920,23065,22850,22960
2017/2/10,23045,23455,22960,23140
2017/2/13,23640,24110,23600,23960
2017/2/14,23700,23820,23600,23725
2017/2/15,23555,23680,22555,23400
2017/2/16,23555,23775,23170,23510
2017/2/17,23165,23470,23100,23300
2017/2/20,23195,23245,22700,22890
2017/2/21,23200,23590,23200,23395
2017/2/22,23450,23495,23000,23235
2017/2/23,23225,23430,22710,23125
2017/2/24,23070,23125,22410,22710
2017/2/27,22940,23100,22575,22835
2017/2/28,22785,22950,22650,22815
2017/3/1,22830,23200,22775,22925
2017/3/2,23300,23330,23130,23225
2017/3/3,23085,23085,22460,22670
2017/3/6,22785,22795,22210,22430
2017/3/7,22220,22355,22090,22195
2017/3/8,22180,22180,21800,21930
2017/3/9,21985,22065,21505,21695
2017/3/10,21640,21975,21640,21845
2017/3/13,22150,22570,21890,22365
2017/3/14,22545,22655,22290,22430
2017/3/15,22300,22800,22250,22655
2017/3/16,22755,23360,22755,23120
2017/3/17,23395,23520,23155,23285
2017/3/20,23505,23915,23400,23675
2017/3/21,23790,23830,23370,23555
2017/3/22,23555,23680,23030,23290
2017/3/23,23300,23590,23060,23365
2017/3/24,23360,23425,22955,23150
2017/3/27,23330,23420,22665,22980
2017/3/28,22730,22845,22380,22635
2017/3/29,22705,23425,22565,23060
2017/3/30,23380,23650,23280,23435
2017/3/31,23455,23795,23135,23430
2017/4/5,22945,23225,22945,23120
2017/4/6,23220,23290,22890,23020
2017/4/7,23120,23135,22060,22620
2017/4/10,21915,22270,21885,22070
2017/4/11,22160,22195,21380,21625
2017/4/12,21600,21600,21175,21460
2017/4/13,21550,21870,21550,21735
2017/4/14,21845,21845,21480,21690
2017/4/17,21730,22040,21730,21940
2017/4/18,21995,22080,21415,21670
2017/4/19,21485,21505,20200,21085
2017/4/20,21320,21800,20500,21330
2017/4/21,21780,22095,21695,21915
2017/4/24,21850,21850,21425,21610
2017/4/25,21680,21795,21500,21645
2017/4/26,21700,21945,21490,21775
2017/4/27,21810,22040,21775,21870
2017/4/28,21895,22145,21590,21865
2017/5/2,22100,22700,22100,22480
2017/5/3,22350,22410,22020,22135
2017/5/4,21910,21920,21390,21715
2017/5/5,21580,21820,21580,21695
2017/5/8,21630,21905,21475,21660
